model,text_type,precision,recall,f1
XLM-R,archaic,0.3795766590389016,0.37370600414078675,0.3740863787375415
XLM-R,modern,0.4851010101010102,0.5245341614906832,0.49424743892829004
mBERT,archaic,0.18253968253968256,0.2939958592132505,0.221978021978022
mBERT,modern,0.1923076923076923,0.2795031055900621,0.22332506203473945
